epoch,train_loss,l_sup,l_cont,l_style,val_dice,val_iou,pred_entropy,pred_fg_rate
1,1.408641,0.685898,0.722594,0.011909,nan,nan,0.4415,0.11629
2,1.290788,0.616902,0.673681,0.008212,nan,nan,0.3701,0.11330
3,1.250509,0.591573,0.658636,0.007991,nan,nan,0.3486,0.11550
4,1.227492,0.576103,0.650978,0.008225,nan,nan,0.3403,0.11900
5,1.198588,0.558864,0.639138,0.009382,0.5482,0.3776,0.3266,0.12281
6,1.193495,0.554550,0.638271,0.008997,0.5482,0.3776,0.3230,0.12430
7,1.184312,0.549276,0.634233,0.009176,0.5482,0.3776,0.3192,0.12557
8,1.171218,0.541922,0.628317,0.009791,0.5482,0.3776,0.3133,0.12593
9,1.155459,0.533598,0.620708,0.010245,0.5482,0.3776,0.3063,0.12816
10,1.138602,0.523839,0.613440,0.010592,0.5912,0.4196,0.2997,0.12915
11,1.129619,0.517265,0.610967,0.010093,0.5912,0.4196,0.2949,0.12632
12,1.115283,0.509220,0.604521,0.010282,0.5912,0.4196,0.2894,0.13164
13,1.117853,0.510684,0.605435,0.010665,0.5912,0.4196,0.2893,0.13274
14,1.105843,0.503339,0.600663,0.010519,0.5912,0.4196,0.2846,0.13157
15,1.095602,0.497960,0.595865,0.009482,0.6149,0.4439,0.2816,0.13202
16,1.093382,0.497426,0.593905,0.010252,0.6149,0.4439,0.2795,0.13249
17,1.074834,0.485404,0.587278,0.010129,0.6149,0.4439,0.2709,0.13164
18,1.078563,0.487975,0.588416,0.009653,0.6149,0.4439,0.2737,0.13085
19,1.062716,0.481195,0.579158,0.009949,0.6149,0.4439,0.2667,0.13173
20,1.064304,0.480947,0.580971,0.009544,0.6143,0.4434,0.2663,0.12997
21,1.042977,0.469600,0.570801,0.009812,0.6143,0.4434,0.2577,0.13150
22,1.042369,0.467924,0.571883,0.009315,0.6143,0.4434,0.2552,0.13240
23,1.056700,0.474651,0.579083,0.010317,0.6143,0.4434,0.2595,0.13286
24,1.024661,0.460956,0.560829,0.009584,0.6143,0.4434,0.2512,0.13319
25,1.025628,0.458627,0.563752,0.010398,0.5733,0.4018,0.2479,0.13280
26,1.023730,0.456988,0.563256,0.010725,0.5733,0.4018,0.2465,0.13471
27,1.007448,0.449333,0.554637,0.010305,0.5733,0.4018,0.2384,0.13354
28,1.019485,0.455157,0.560756,0.010205,0.5733,0.4018,0.2412,0.13382
29,0.997017,0.441715,0.551451,0.010624,0.5733,0.4018,0.2325,0.13441
30,1.007975,0.447631,0.556334,0.010692,0.6311,0.4610,0.2339,0.13475
31,0.992722,0.438853,0.549748,0.010635,0.6311,0.4610,0.2273,0.13629
32,0.986639,0.434850,0.547415,0.010936,0.6311,0.4610,0.2219,0.13549
33,0.971520,0.428692,0.538566,0.010332,0.6311,0.4610,0.2155,0.13516
34,0.985774,0.434659,0.546521,0.010811,0.6311,0.4610,0.2195,0.13602
35,0.973651,0.427246,0.541903,0.010292,0.6205,0.4498,0.2131,0.13551
