epoch,train_loss,val_dice,val_iou
1,0.697560,0.3342,0.2007
2,0.636048,0.5246,0.3555
3,0.626372,0.5182,0.3497
4,0.615599,0.5483,0.3777
5,0.613688,0.4447,0.2859
6,0.605246,0.5596,0.3885
7,0.602978,0.5177,0.3493
8,0.589585,0.5533,0.3825
9,0.585040,0.5691,0.3977
10,0.583446,0.5200,0.3513
11,0.573737,0.5448,0.3744
12,0.589620,0.5532,0.3824
13,0.584169,0.5849,0.4133
14,0.583622,0.5752,0.4037
15,0.583753,0.5628,0.3916
16,0.585056,0.5940,0.4224
17,0.601779,0.5693,0.3979
18,0.606779,0.5805,0.4089
19,0.611135,0.5548,0.3838
20,0.622774,0.6098,0.4386
21,0.618811,0.5698,0.3984
22,0.616854,0.6066,0.4353
23,0.602126,0.5755,0.4040
24,0.605166,0.5986,0.4272
25,0.585922,0.5896,0.4180
26,0.591966,0.5954,0.4239
27,0.589800,0.5108,0.3430
28,0.585341,0.6103,0.4392
29,0.560648,0.6182,0.4474
30,0.565764,0.5871,0.4156
31,0.555368,0.6074,0.4362
32,0.552714,0.6167,0.4458
33,0.547339,0.5991,0.4276
34,0.549652,0.6084,0.4372
35,0.526991,0.6161,0.4452
36,0.509551,0.5681,0.3967
37,0.513354,0.6283,0.4580
38,0.513701,0.6115,0.4404
39,0.510788,0.6240,0.4535
40,0.524340,0.6069,0.4356
41,0.541988,0.6305,0.4604
42,0.513508,0.6220,0.4514
43,0.493459,0.5838,0.4122
44,0.505209,0.6082,0.4370
45,0.503571,0.6141,0.4431
46,0.488630,0.6272,0.4569
47,0.483206,0.5406,0.3704
48,0.494384,0.6059,0.4346
49,0.488958,0.6287,0.4584
50,0.482215,0.6289,0.4586
51,0.472143,0.6256,0.4552
52,0.469623,0.6219,0.4513
53,0.483034,0.6115,0.4405
54,0.468887,0.6215,0.4509
55,0.465400,0.6288,0.4586
56,0.463644,0.5839,0.4123
57,0.469967,0.6134,0.4423
58,0.467285,0.6248,0.4543
59,0.459657,0.5941,0.4226
60,0.457535,0.5945,0.4230
61,0.454127,0.6198,0.4491
62,0.441758,0.6367,0.4670
63,0.439601,0.6241,0.4536
64,0.458028,0.6314,0.4613
65,0.444119,0.6366,0.4669
66,0.456143,0.6099,0.4387
67,0.441400,0.5753,0.4038
68,0.444864,0.6294,0.4592
69,0.440820,0.6426,0.4734
70,0.432292,0.6172,0.4463
71,0.424024,0.6224,0.4518
72,0.423054,0.5725,0.4011
73,0.423961,0.6462,0.4773
74,0.427126,0.6304,0.4603
75,0.413934,0.6355,0.4658
76,0.412521,0.6244,0.4539
77,0.407302,0.6392,0.4697
78,0.411732,0.6168,0.4459
79,0.412822,0.6512,0.4828
80,0.407393,0.6154,0.4444
81,0.401982,0.6121,0.4411
82,0.403221,0.5955,0.4240
83,0.401085,0.6081,0.4369
84,0.398414,0.6374,0.4678
85,0.393798,0.6186,0.4478
86,0.393769,0.6207,0.4500
87,0.389261,0.6411,0.4718
88,0.381409,0.6266,0.4563
89,0.389262,0.6310,0.4609
90,0.385120,0.6271,0.4568
91,0.380137,0.6250,0.4545
92,0.379679,0.6180,0.4472
93,0.372959,0.6490,0.4803
94,0.369031,0.6440,0.4750
95,0.375711,0.6255,0.4551
96,0.368745,0.6372,0.4676
97,0.366259,0.6211,0.4504
98,0.363826,0.6359,0.4662
99,0.361873,0.6291,0.4589
100,0.363200,0.6273,0.4569
101,0.358006,0.6383,0.4687
102,0.356387,0.6145,0.4435
103,0.356229,0.6269,0.4565
104,0.356737,0.6190,0.4482
105,0.349759,0.6182,0.4474
106,0.341015,0.6207,0.4500
107,0.345321,0.6189,0.4482
108,0.341974,0.5949,0.4234
109,0.340008,0.6041,0.4328
110,0.342965,0.6034,0.4321
111,0.339522,0.6089,0.4377
112,0.337961,0.6210,0.4504
113,0.332068,0.5960,0.4245
114,0.336597,0.5943,0.4228
115,0.337591,0.6162,0.4453
116,0.334942,0.5902,0.4186
117,0.333429,0.6139,0.4429
118,0.331524,0.6044,0.4331
119,0.332577,0.6129,0.4418
120,0.330393,0.6181,0.4473
121,0.331222,0.6045,0.4331
122,0.327293,0.6241,0.4536
123,0.328665,0.6233,0.4527
124,0.326441,0.6058,0.4345
125,0.326229,0.6043,0.4330
126,0.325347,0.6142,0.4432
127,0.324008,0.6092,0.4380
128,0.323510,0.6097,0.4385
129,0.325680,0.6184,0.4476
130,0.322660,0.6208,0.4502
131,0.318431,0.6096,0.4384
132,0.317974,0.6123,0.4413
133,0.320842,0.6101,0.4389
134,0.320118,0.5965,0.4250
135,0.321089,0.6182,0.4474
136,0.323789,0.6082,0.4370
137,0.321557,0.6059,0.4346
138,0.322610,0.6139,0.4429
139,0.321698,0.6075,0.4362
140,0.321160,0.6014,0.4300
141,0.320591,0.6184,0.4476
142,0.320443,0.6091,0.4379
143,0.321589,0.6043,0.4330
144,0.322351,0.5990,0.4276
145,0.318220,0.5993,0.4278
146,0.319356,0.6096,0.4384
147,0.321586,0.6105,0.4393
148,0.321000,0.6112,0.4401
149,0.324283,0.6125,0.4414
150,0.321179,0.6066,0.4354
